model,image_path,true_label,pred,confidence,top2_digit,top2_prob,top3_digit,top3_prob
1,Different_test_data\mnist_export\0_0003.png,0,0,0.997775137424469,2,0.0011020568199455738,9,0.001002458157017827
1,Different_test_data\mnist_export\0_0010.png,0,0,0.9794027209281921,9,0.007606141734868288,2,0.006412063259631395
1,Different_test_data\mnist_export\0_0013.png,0,0,0.9955183267593384,9,0.0028697308152914047,2,0.0008072300115600228
1,Different_test_data\mnist_export\0_0025.png,0,0,0.7246168851852417,2,0.22302818298339844,9,0.018543429672718048
1,Different_test_data\mnist_export\0_0028.png,0,0,0.9997921586036682,2,0.00010020007903221995,6,6.174301961436868e-05
1,Different_test_data\mnist_export\0_0055.png,0,0,0.9997257590293884,4,0.0002093925722874701,8,3.490122253424488e-05
1,Different_test_data\mnist_export\0_0069.png,0,3,0.7294348478317261,5,0.22549933195114136,1,0.027465317398309708
1,Different_test_data\mnist_export\0_0071.png,0,0,0.9723508358001709,2,0.018418001011013985,9,0.008064907975494862
1,Different_test_data\mnist_export\0_0101.png,0,0,0.9836137294769287,6,0.007523832842707634,9,0.005432820413261652
1,Different_test_data\mnist_export\0_0126.png,0,2,0.6907395124435425,0,0.30035990476608276,9,0.004121638834476471
1,Different_test_data\mnist_export\0_0136.png,0,0,0.9988760352134705,4,0.000818517932202667,6,0.0002104739542119205
1,Different_test_data\mnist_export\0_0148.png,0,0,0.9996660947799683,2,0.00013093587767798454,6,0.00012020601570839062
1,Different_test_data\mnist_export\0_0157.png,0,0,0.9998925924301147,2,8.895119390217587e-05,6,7.943966920720413e-06
1,Different_test_data\mnist_export\0_0183.png,0,0,0.5897756814956665,9,0.150917187333107,2,0.08908478170633316
1,Different_test_data\mnist_export\0_0188.png,0,0,0.8919768333435059,9,0.08423113077878952,7,0.012108322232961655
1,Different_test_data\mnist_export\0_0192.png,0,0,0.9931331276893616,6,0.00510428985580802,7,0.0009535818244330585
1,Different_test_data\mnist_export\0_0194.png,0,0,0.9866386651992798,4,0.004412979353219271,2,0.00400878582149744
1,Different_test_data\mnist_export\1_0002.png,1,1,0.9998980760574341,4,8.899741806089878e-05,7,5.203874934522901e-06
1,Different_test_data\mnist_export\1_0005.png,1,1,0.9997525811195374,4,0.00023466696438845247,8,5.99174518356449e-06
1,Different_test_data\mnist_export\1_0014.png,1,1,0.9993605017662048,8,0.0003122377675026655,4,0.00025501972413621843
1,Different_test_data\mnist_export\1_0029.png,1,1,0.997728168964386,4,0.00224444386549294,9,1.3867023881175555e-05
1,Different_test_data\mnist_export\1_0031.png,1,1,0.9989902377128601,4,0.0009128727251663804,8,4.463548248168081e-05
1,Different_test_data\mnist_export\1_0037.png,1,1,0.9996126294136047,4,0.00033354401239193976,8,1.9482547941152006e-05
1,Different_test_data\mnist_export\1_0039.png,1,1,0.978145956993103,4,0.007458200678229332,8,0.007145394571125507
1,Different_test_data\mnist_export\1_0040.png,1,1,0.998488187789917,4,0.001214119023643434,7,0.00024641508935019374
1,Different_test_data\mnist_export\1_0046.png,1,1,0.9849889278411865,4,0.010277851484715939,8,0.0029577508103102446
1,Different_test_data\mnist_export\1_0057.png,1,1,0.9997066855430603,4,0.0002725236117839813,6,7.768822797515895e-06
1,Different_test_data\mnist_export\1_0074.png,1,1,0.9997182488441467,4,0.00017801586363930255,8,6.192927685333416e-05
1,Different_test_data\mnist_export\1_0089.png,1,1,0.9908847212791443,4,0.008139663375914097,6,0.0006854617386125028
1,Different_test_data\mnist_export\1_0094.png,1,1,0.816137433052063,8,0.15738537907600403,4,0.007922912947833538
1,Different_test_data\mnist_export\1_0096.png,1,1,0.5563498139381409,9,0.2941654622554779,4,0.08869711309671402
1,Different_test_data\mnist_export\1_0107.png,1,1,0.9926280379295349,4,0.0035914157051593065,6,0.001595698413439095
1,Different_test_data\mnist_export\1_0135.png,1,1,0.9974344372749329,4,0.001993929035961628,8,0.0002692184061743319
1,Different_test_data\mnist_export\1_0137.png,1,1,0.9967182278633118,4,0.0029937855433672667,8,0.00018359867681283504
1,Different_test_data\mnist_export\1_0143.png,1,1,0.9999059438705444,4,4.7246394387912005e-05,7,4.3131592974532396e-05
1,Different_test_data\mnist_export\1_0145.png,1,1,0.9995166063308716,4,0.00039439668762497604,8,4.848974276683293e-05
1,Different_test_data\mnist_export\1_0154.png,1,1,0.9995667338371277,4,0.0003705295384861529,8,3.65028899977915e-05
1,Different_test_data\mnist_export\1_0168.png,1,1,0.9708430171012878,8,0.024767940863966942,4,0.0016429899260401726
1,Different_test_data\mnist_export\1_0176.png,1,1,0.9996011853218079,4,0.00034164940007030964,7,3.09589049720671e-05
1,Different_test_data\mnist_export\1_0178.png,1,1,0.9998629093170166,4,0.00011393837485229596,8,1.036738740367582e-05
1,Different_test_data\mnist_export\1_0180.png,1,1,0.9997689127922058,4,0.00015751102182548493,8,4.0572602301836014e-05
1,Different_test_data\mnist_export\1_0189.png,1,1,0.9842251539230347,4,0.010954884812235832,8,0.00373458000831306
